DateTime,Date,Hour,Entrances
2022-09-18 14:00:00,2022-09-18,14,208
2022-09-18 15:00:00,2022-09-18,15,298
2022-09-18 16:00:00,2022-09-18,16,342
2022-09-18 17:00:00,2022-09-18,17,264
2022-09-18 18:00:00,2022-09-18,18,227
2022-09-18 19:00:00,2022-09-18,19,152
2022-09-18 20:00:00,2022-09-18,20,214
2022-09-18 21:00:00,2022-09-18,21,43
2022-09-19 05:00:00,2022-09-19,5,22
2022-09-19 06:00:00,2022-09-19,6,240
2022-09-19 07:00:00,2022-09-19,7,223
2022-09-19 08:00:00,2022-09-19,8,362
2022-09-19 09:00:00,2022-09-19,9,428
2022-09-19 10:00:00,2022-09-19,10,451
2022-09-19 11:00:00,2022-09-19,11,385
2022-09-19 12:00:00,2022-09-19,12,372
2022-09-19 13:00:00,2022-09-19,13,330
2022-09-19 14:00:00,2022-09-19,14,347
2022-09-19 15:00:00,2022-09-19,15,348
2022-09-19 16:00:00,2022-09-19,16,434
2022-09-19 17:00:00,2022-09-19,17,407
2022-09-19 18:00:00,2022-09-19,18,541
2022-09-19 19:00:00,2022-09-19,19,346
2022-09-19 20:00:00,2022-09-19,20,297
2022-09-19 21:00:00,2022-09-19,21,180
2022-09-19 22:00:00,2022-09-19,22,43
2022-09-19 23:00:00,2022-09-19,23,7
2022-09-20 06:00:00,2022-09-20,6,271
2022-09-20 07:00:00,2022-09-20,7,277
2022-09-20 08:00:00,2022-09-20,8,314
2022-09-20 09:00:00,2022-09-20,9,496
2022-09-20 10:00:00,2022-09-20,10,421
2022-09-20 11:00:00,2022-09-20,11,513
2022-09-20 12:00:00,2022-09-20,12,323
2022-09-20 13:00:00,2022-09-20,13,372
2022-09-20 14:00:00,2022-09-20,14,385
2022-09-20 15:00:00,2022-09-20,15,359
2022-09-20 16:00:00,2022-09-20,16,461
2022-09-20 17:00:00,2022-09-20,17,428
2022-09-20 18:00:00,2022-09-20,18,532
2022-09-20 19:00:00,2022-09-20,19,370
2022-09-20 20:00:00,2022-09-20,20,304
2022-09-20 21:00:00,2022-09-20,21,206
2022-09-20 22:00:00,2022-09-20,22,85
2022-09-20 23:00:00,2022-09-20,23,10
2022-09-21 06:00:00,2022-09-21,6,175
2022-09-21 07:00:00,2022-09-21,7,213
2022-09-21 08:00:00,2022-09-21,8,315
2022-09-21 09:00:00,2022-09-21,9,342
2022-09-21 10:00:00,2022-09-21,10,376
2022-09-21 11:00:00,2022-09-21,11,331
2022-09-21 12:00:00,2022-09-21,12,414
2022-09-21 13:00:00,2022-09-21,13,320
2022-09-21 14:00:00,2022-09-21,14,381
2022-09-21 15:00:00,2022-09-21,15,275
2022-09-21 16:00:00,2022-09-21,16,281
2022-09-21 17:00:00,2022-09-21,17,265
