DateTime,Date,Hour,Entrances
2022-09-21 08:00:00,2022-09-21,8,585
2022-09-21 09:00:00,2022-09-21,9,511
2022-09-21 10:00:00,2022-09-21,10,444
2022-09-21 11:00:00,2022-09-21,11,342
2022-09-21 12:00:00,2022-09-21,12,414
2022-09-22 01:00:00,2022-09-22,1,292
2022-09-22 02:00:00,2022-09-22,2,341
2022-09-22 03:00:00,2022-09-22,3,305
2022-09-22 04:00:00,2022-09-22,4,437
2022-09-22 05:00:00,2022-09-22,5,297
2022-09-22 06:00:00,2022-09-22,6,584
2022-09-22 07:00:00,2022-09-22,7,439
2022-09-22 08:00:00,2022-09-22,8,495
2022-09-22 09:00:00,2022-09-22,9,499
2022-09-22 10:00:00,2022-09-22,10,424
2022-09-22 11:00:00,2022-09-22,11,443
2022-09-22 12:00:00,2022-09-22,12,299
2022-09-23 01:00:00,2022-09-23,1,406
2022-09-23 02:00:00,2022-09-23,2,431
2022-09-23 03:00:00,2022-09-23,3,395
2022-09-23 04:00:00,2022-09-23,4,362
2022-09-23 05:00:00,2022-09-23,5,283
2022-09-23 06:00:00,2022-09-23,6,459
2022-09-23 07:00:00,2022-09-23,7,314
2022-09-23 08:00:00,2022-09-23,8,364
2022-09-23 09:00:00,2022-09-23,9,326
2022-09-23 10:00:00,2022-09-23,10,411
2022-09-23 11:00:00,2022-09-23,11,372
2022-09-23 12:00:00,2022-09-23,12,430
2022-09-24 01:00:00,2022-09-24,1,190
2022-09-24 02:00:00,2022-09-24,2,281
2022-09-24 03:00:00,2022-09-24,3,842
2022-09-24 04:00:00,2022-09-24,4,595
2022-09-24 05:00:00,2022-09-24,5,494
2022-09-24 06:00:00,2022-09-24,6,435
2022-09-24 07:00:00,2022-09-24,7,418
2022-09-24 08:00:00,2022-09-24,8,515
2022-09-24 09:00:00,2022-09-24,9,273
2022-09-24 10:00:00,2022-09-24,10,212
2022-09-24 11:00:00,2022-09-24,11,260
2022-09-24 12:00:00,2022-09-24,12,187
2022-09-26 01:00:00,2022-09-26,1,249
2022-09-26 02:00:00,2022-09-26,2,332
2022-09-26 03:00:00,2022-09-26,3,308
2022-09-26 04:00:00,2022-09-26,4,429
2022-09-26 05:00:00,2022-09-26,5,399
2022-09-26 06:00:00,2022-09-26,6,757
2022-09-26 07:00:00,2022-09-26,7,578
2022-09-26 08:00:00,2022-09-26,8,731
2022-09-26 09:00:00,2022-09-26,9,569
2022-09-26 10:00:00,2022-09-26,10,457
2022-09-26 11:00:00,2022-09-26,11,329
2022-09-26 12:00:00,2022-09-26,12,300
2022-09-27 01:00:00,2022-09-27,1,300
2022-09-27 02:00:00,2022-09-27,2,377
2022-09-27 03:00:00,2022-09-27,3,339
2022-09-27 04:00:00,2022-09-27,4,394
2022-09-27 05:00:00,2022-09-27,5,441
2022-09-27 06:00:00,2022-09-27,6,767
2022-09-27 07:00:00,2022-09-27,7,619
2022-09-27 08:00:00,2022-09-27,8,660
2022-09-27 09:00:00,2022-09-27,9,586
2022-09-27 10:00:00,2022-09-27,10,413
2022-09-27 11:00:00,2022-09-27,11,449
2022-09-27 12:00:00,2022-09-27,12,285
2022-09-28 01:00:00,2022-09-28,1,304
2022-09-28 02:00:00,2022-09-28,2,351
2022-09-28 03:00:00,2022-09-28,3,272
2022-09-28 04:00:00,2022-09-28,4,401
2022-09-28 05:00:00,2022-09-28,5,406
2022-09-28 06:00:00,2022-09-28,6,661
2022-09-28 07:00:00,2022-09-28,7,534
2022-09-28 08:00:00,2022-09-28,8,600
2022-09-28 09:00:00,2022-09-28,9,540
2022-09-28 10:00:00,2022-09-28,10,475
2022-09-28 11:00:00,2022-09-28,11,340
2022-09-28 12:00:00,2022-09-28,12,377
2022-09-29 01:00:00,2022-09-29,1,240
2022-09-29 02:00:00,2022-09-29,2,303
2022-09-29 03:00:00,2022-09-29,3,310
2022-09-29 04:00:00,2022-09-29,4,391
2022-09-29 05:00:00,2022-09-29,5,290
2022-09-29 06:00:00,2022-09-29,6,450
2022-09-29 07:00:00,2022-09-29,7,407
2022-09-29 08:00:00,2022-09-29,8,497
2022-09-29 09:00:00,2022-09-29,9,464
2022-09-29 10:00:00,2022-09-29,10,392
2022-09-29 11:00:00,2022-09-29,11,441
2022-09-29 12:00:00,2022-09-29,12,293
2022-09-30 01:00:00,2022-09-30,1,307
2022-09-30 02:00:00,2022-09-30,2,319
2022-09-30 03:00:00,2022-09-30,3,271
2022-09-30 04:00:00,2022-09-30,4,327
2022-09-30 05:00:00,2022-09-30,5,232
2022-09-30 06:00:00,2022-09-30,6,384
2022-09-30 07:00:00,2022-09-30,7,377
2022-09-30 08:00:00,2022-09-30,8,346
2022-09-30 09:00:00,2022-09-30,9,293
2022-09-30 10:00:00,2022-09-30,10,354
2022-09-30 11:00:00,2022-09-30,11,306
2022-09-30 12:00:00,2022-09-30,12,352
2022-10-01 01:00:00,2022-10-01,1,409
2022-10-01 02:00:00,2022-10-01,2,404
2022-10-01 03:00:00,2022-10-01,3,396
2022-10-01 04:00:00,2022-10-01,4,334
2022-10-01 05:00:00,2022-10-01,5,403
2022-10-01 06:00:00,2022-10-01,6,345
2022-10-01 07:00:00,2022-10-01,7,422
2022-10-01 08:00:00,2022-10-01,8,614
2022-10-01 09:00:00,2022-10-01,9,382
2022-10-01 10:00:00,2022-10-01,10,317
2022-10-01 11:00:00,2022-10-01,11,429
2022-10-01 12:00:00,2022-10-01,12,411
2022-10-03 01:00:00,2022-10-03,1,240
2022-10-03 02:00:00,2022-10-03,2,330
2022-10-03 03:00:00,2022-10-03,3,290
2022-10-03 04:00:00,2022-10-03,4,389
2022-10-03 05:00:00,2022-10-03,5,425
2022-10-03 06:00:00,2022-10-03,6,651
2022-10-03 07:00:00,2022-10-03,7,598
2022-10-03 08:00:00,2022-10-03,8,591
2022-10-03 09:00:00,2022-10-03,9,567
2022-10-03 10:00:00,2022-10-03,10,451
2022-10-03 11:00:00,2022-10-03,11,311
2022-10-03 12:00:00,2022-10-03,12,315
2022-10-04 01:00:00,2022-10-04,1,257
2022-10-04 02:00:00,2022-10-04,2,310
2022-10-04 03:00:00,2022-10-04,3,284
2022-10-04 04:00:00,2022-10-04,4,348
2022-10-04 05:00:00,2022-10-04,5,404
2022-10-04 06:00:00,2022-10-04,6,660
2022-10-04 07:00:00,2022-10-04,7,581
2022-10-04 08:00:00,2022-10-04,8,535
2022-10-04 09:00:00,2022-10-04,9,575
2022-10-04 10:00:00,2022-10-04,10,443
2022-10-04 11:00:00,2022-10-04,11,441
2022-10-04 12:00:00,2022-10-04,12,270
2022-10-05 01:00:00,2022-10-05,1,255
2022-10-05 02:00:00,2022-10-05,2,296
2022-10-05 03:00:00,2022-10-05,3,264
2022-10-05 04:00:00,2022-10-05,4,363
2022-10-05 05:00:00,2022-10-05,5,388
2022-10-05 06:00:00,2022-10-05,6,604
2022-10-05 07:00:00,2022-10-05,7,458
2022-10-05 08:00:00,2022-10-05,8,601
2022-10-05 09:00:00,2022-10-05,9,528
2022-10-05 10:00:00,2022-10-05,10,422
2022-10-05 11:00:00,2022-10-05,11,305
2022-10-05 12:00:00,2022-10-05,12,345
2022-10-06 01:00:00,2022-10-06,1,239
2022-10-06 02:00:00,2022-10-06,2,317
2022-10-06 03:00:00,2022-10-06,3,308
2022-10-06 04:00:00,2022-10-06,4,332
2022-10-06 05:00:00,2022-10-06,5,295
2022-10-06 06:00:00,2022-10-06,6,490
2022-10-06 07:00:00,2022-10-06,7,420
2022-10-06 08:00:00,2022-10-06,8,491
2022-10-06 09:00:00,2022-10-06,9,512
2022-10-06 10:00:00,2022-10-06,10,327
2022-10-06 11:00:00,2022-10-06,11,335
2022-10-06 12:00:00,2022-10-06,12,299
2022-10-07 01:00:00,2022-10-07,1,325
2022-10-07 02:00:00,2022-10-07,2,315
2022-10-07 03:00:00,2022-10-07,3,329
2022-10-07 04:00:00,2022-10-07,4,333
2022-10-07 05:00:00,2022-10-07,5,257
2022-10-07 06:00:00,2022-10-07,6,352
2022-10-07 07:00:00,2022-10-07,7,329
2022-10-07 08:00:00,2022-10-07,8,251
2022-10-07 09:00:00,2022-10-07,9,290
2022-10-07 10:00:00,2022-10-07,10,308
2022-10-07 11:00:00,2022-10-07,11,283
2022-10-07 12:00:00,2022-10-07,12,331
2022-10-08 01:00:00,2022-10-08,1,483
2022-10-08 02:00:00,2022-10-08,2,374
2022-10-08 03:00:00,2022-10-08,3,399
2022-10-08 04:00:00,2022-10-08,4,425
2022-10-08 05:00:00,2022-10-08,5,402
2022-10-08 06:00:00,2022-10-08,6,389
2022-10-08 07:00:00,2022-10-08,7,490
2022-10-08 08:00:00,2022-10-08,8,590
2022-10-08 09:00:00,2022-10-08,9,437
2022-10-08 10:00:00,2022-10-08,10,306
2022-10-08 11:00:00,2022-10-08,11,456
2022-10-08 12:00:00,2022-10-08,12,404
2022-10-10 01:00:00,2022-10-10,1,262
2022-10-10 02:00:00,2022-10-10,2,284
2022-10-10 03:00:00,2022-10-10,3,312
2022-10-10 04:00:00,2022-10-10,4,415
