Entrance/Exit Statistics,,
Parameters,,
"Mon, Sep 12, 2022 12:00 AM to Mon, Feb 20, 2023 11:59 PM",,
Facilities: Recreation Center,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,
,Entrances,Exits
12:15 - 12:30 AM,34,0
12:30 - 12:45 AM,41,0
12:45 - 01:00 PM,33,0
01:00 - 01:15 PM,25,0
01:15 - 01:30 PM,47,0
01:30 - 01:45 PM,43,0
01:45 - 02:00 PM,34,0
02:00 - 02:15 PM,37,0
02:15 - 02:30 PM,47,0
02:30 - 02:45 PM,36,0
02:45 - 03:00 PM,52,0
03:00 - 03:15 PM,47,0
03:15 - 03:30 PM,54,0
03:30 - 03:45 PM,64,0
03:45 - 04:00 PM,75,0
04:00 - 04:15 PM,56,0
04:15 - 04:30 PM,42,0
04:30 - 04:45 PM,39,0
04:45 - 05:00 PM,93,0
05:00 - 05:15 PM,68,0
05:15 - 05:30 PM,58,0
05:30 - 05:45 PM,71,0
05:45 - 06:00 PM,68,0
06:00 - 06:15 PM,49,0
06:15 - 06:30 PM,57,0
06:30 - 06:45 PM,50,0
06:45 - 07:00 PM,60,0
07:00 - 07:15 PM,89,0
07:15 - 07:30 PM,108,0
07:30 - 07:45 PM,78,0
07:45 - 08:00 PM,39,0
08:00 - 08:15 PM,80,0
08:15 - 08:30 PM,67,0
08:30 - 08:45 PM,60,0
08:45 - 9:00 PM,49,0
9:00 - 9:15 PM,38,0
9:15 - 9:30 PM,18,0
9:30 - 9:45 PM,15,0
"Tue, Feb 21 2023 2:45P",Page: 59/247,
Entrances,Exits,
9:45 - 10:00 PM,4,0
"Mon, Oct 17, 2022",4991,0
06:00 - 06:15 AM,77,0
06:15 - 06:30 AM,31,0
06:30 - 06:45 AM,41,0
06:45 - 07:00 AM,33,0
07:00 - 07:15 AM,33,0
07:15 - 07:30 AM,32,0
07:30 - 07:45 AM,44,0
07:45 - 08:00 AM,28,0
08:00 - 08:15 AM,60,0
08:15 - 08:30 AM,29,0
08:30 - 08:45 AM,58,0
08:45 - 9:00 AM,70,0
9:00 - 9:15 AM,127,0
9:15 - 9:30 AM,45,0
9:30 - 9:45 AM,37,0
9:45 - 10:00 AM,67,0
10:00 - 10:15 AM,151,0
10:15 - 10:30 AM,56,0
10:30 - 10:45 AM,58,0
10:45 - 11:00 AM,51,0
11:00 - 11:15 AM,96,0
11:15 - 11:30 AM,56,0
11:30 - 11:45 AM,45,0
11:45 - 12:00 AM,68,0
12:00 - 12:15 AM,136,0
12:15 - 12:30 AM,49,0
12:30 - 12:45 AM,49,0
12:45 - 01:00 PM,45,0
01:00 - 01:15 PM,77,0
01:15 - 01:30 PM,65,0
01:30 - 01:45 PM,52,0
01:45 - 02:00 PM,66,0
02:00 - 02:15 PM,123,0
02:15 - 02:30 PM,62,0
02:30 - 02:45 PM,72,0
02:45 - 03:00 PM,52,0
03:00 - 03:15 PM,76,0
03:15 - 03:30 PM,58,0
"Tue, Feb 21 2023 2:45P",Page: 60/247,
Entrances,Exits,
03:30 - 03:45 PM,53,0
03:45 - 04:00 PM,75,0
04:00 - 04:15 PM,192,0
04:15 - 04:30 PM,92,0
04:30 - 04:45 PM,84,0
04:45 - 05:00 PM,82,0
05:00 - 05:15 PM,96,0
05:15 - 05:30 PM,108,0
05:30 - 05:45 PM,87,0
05:45 - 06:00 PM,112,0
06:00 - 06:15 PM,161,0
06:15 - 06:30 PM,129,0
06:30 - 06:45 PM,84,0
06:45 - 07:00 PM,71,0
07:00 - 07:15 PM,122,0
07:15 - 07:30 PM,96,0
07:30 - 07:45 PM,65,0
07:45 - 08:00 PM,85,0
08:00 - 08:15 PM,113,0
08:15 - 08:30 PM,110,0
08:30 - 08:45 PM,79,0
08:45 - 9:00 PM,66,0
9:00 - 9:15 PM,94,0
9:15 - 9:30 PM,97,0
9:30 - 9:45 PM,57,0
9:45 - 10:00 PM,40,0
10:00 - 10:15 PM,39,0
10:15 - 10:30 PM,37,0
10:30 - 10:45 PM,49,0
10:45 - 11:00 PM,20,0
11:00 - 11:15 PM,14,0
11:15 - 11:30 PM,6,0
11:45 - 00:00 AM,1,0
"Tue, Oct 18, 2022",4920,0
05:15 - 05:30 AM,1,0
06:00 - 06:15 AM,84,0
06:15 - 06:30 AM,53,0
06:30 - 06:45 AM,55,0
06:45 - 07:00 AM,23,0
07:00 - 07:15 AM,41,0
"Tue, Feb 21 2023 2:45P",Page: 61/247,
Entrances,Exits,
07:15 - 07:30 AM,40,0
07:30 - 07:45 AM,28,0
07:45 - 08:00 AM,42,0
08:00 - 08:15 AM,78,0
08:15 - 08:30 AM,53,0
08:30 - 08:45 AM,36,0
08:45 - 9:00 AM,67,0
9:00 - 9:15 AM,139,0
9:15 - 9:30 AM,65,0
9:30 - 9:45 AM,58,0
9:45 - 10:00 AM,50,0
10:00 - 10:15 AM,83,0
10:15 - 10:30 AM,62,0
10:30 - 10:45 AM,60,0
10:45 - 11:00 AM,79,0
11:00 - 11:15 AM,168,0
11:15 - 11:30 AM,63,0
11:30 - 11:45 AM,71,0
11:45 - 12:00 AM,74,0
12:00 - 12:15 AM,94,0
12:15 - 12:30 AM,67,0
12:30 - 12:45 AM,61,0
12:45 - 01:00 PM,62,0
01:00 - 01:15 PM,70,0
01:15 - 01:30 PM,49,0
01:30 - 01:45 PM,63,0
01:45 - 02:00 PM,69,0
02:00 - 02:15 PM,143,0
02:15 - 02:30 PM,60,0
02:30 - 02:45 PM,58,0
02:45 - 03:00 PM,59,0
03:00 - 03:15 PM,94,0
03:15 - 03:30 PM,60,0
03:30 - 03:45 PM,63,0
03:45 - 04:00 PM,54,0
04:00 - 04:15 PM,132,0
04:15 - 04:30 PM,74,0
04:30 - 04:45 PM,78,0
04:45 - 05:00 PM,95,0
05:00 - 05:15 PM,121,0
"Tue, Feb 21 2023 2:45P",Page: 62/247,
Entrances,Exits,
05:15 - 05:30 PM,80,0
05:30 - 05:45 PM,79,0
05:45 - 06:00 PM,75,0
06:00 - 06:15 PM,123,0
06:15 - 06:30 PM,102,0
06:30 - 06:45 PM,67,0
06:45 - 07:00 PM,136,0
07:00 - 07:15 PM,87,0
07:15 - 07:30 PM,85,0
07:30 - 07:45 PM,99,0
07:45 - 08:00 PM,97,0
08:00 - 08:15 PM,93,0
08:15 - 08:30 PM,70,0
08:30 - 08:45 PM,66,0
08:45 - 9:00 PM,70,0
9:00 - 9:15 PM,93,0
9:15 - 9:30 PM,79,0
9:30 - 9:45 PM,44,0
9:45 - 10:00 PM,49,0
10:00 - 10:15 PM,43,0
10:15 - 10:30 PM,25,0
10:30 - 10:45 PM,32,0
10:45 - 11:00 PM,10,0
11:00 - 11:15 PM,10,0
11:15 - 11:30 PM,7,0
"Wed, Oct 19, 2022",4880,0
06:15 - 06:30 AM,27,0
06:30 - 06:45 AM,34,0
06:45 - 07:00 AM,28,0
07:00 - 07:15 AM,34,0
07:15 - 07:30 AM,32,0
07:30 - 07:45 AM,32,0
07:45 - 08:00 AM,43,0
08:00 - 08:15 AM,65,0
08:15 - 08:30 AM,43,0
08:30 - 08:45 AM,54,0
08:45 - 9:00 AM,73,0
9:00 - 9:15 AM,111,0
9:15 - 9:30 AM,54,0
9:30 - 9:45 AM,38,0
"Tue, Feb 21 2023 2:45P",Page: 63/247,
Entrances,Exits,
9:45 - 10:00 AM,56,0
10:00 - 10:15 AM,112,0
10:15 - 10:30 AM,62,0
10:30 - 10:45 AM,64,0
10:45 - 11:00 AM,49,0
11:00 - 11:15 AM,106,0
11:15 - 11:30 AM,63,0
11:30 - 11:45 AM,41,0
11:45 - 12:00 AM,56,0
12:00 - 12:15 AM,161,0
12:15 - 12:30 AM,74,0
12:30 - 12:45 AM,46,0
12:45 - 01:00 PM,64,0
01:00 - 01:15 PM,89,0
01:15 - 01:30 PM,61,0
01:30 - 01:45 PM,51,0
01:45 - 02:00 PM,78,0
02:00 - 02:15 PM,119,0
02:15 - 02:30 PM,62,0
02:30 - 02:45 PM,78,0
02:45 - 03:00 PM,76,0
03:00 - 03:15 PM,105,0
03:15 - 03:30 PM,60,0
03:30 - 03:45 PM,48,0
03:45 - 04:00 PM,81,0
04:00 - 04:15 PM,126,0
04:15 - 04:30 PM,98,0
04:30 - 04:45 PM,79,0
04:45 - 05:00 PM,106,0
05:00 - 05:15 PM,130,0
05:15 - 05:30 PM,102,0
05:30 - 05:45 PM,84,0
05:45 - 06:00 PM,77,0
06:00 - 06:15 PM,139,0
06:15 - 06:30 PM,114,0
06:30 - 06:45 PM,78,0
06:45 - 07:00 PM,83,0
07:00 - 07:15 PM,115,0
07:15 - 07:30 PM,117,0
07:30 - 07:45 PM,86,0
"Tue, Feb 21 2023 2:45P",Page: 64/247,
Entrances,Exits,
07:45 - 08:00 PM,70,0
08:00 - 08:15 PM,74,0
08:15 - 08:30 PM,99,0
08:30 - 08:45 PM,71,0
08:45 - 9:00 PM,88,0
9:00 - 9:15 PM,106,0
9:15 - 9:30 PM,80,0
9:30 - 9:45 PM,46,0
9:45 - 10:00 PM,35,0
10:00 - 10:15 PM,46,0
10:15 - 10:30 PM,46,0
10:30 - 10:45 PM,29,0
10:45 - 11:00 PM,12,0
11:00 - 11:15 PM,10,0
11:15 - 11:30 PM,2,0
11:30 - 11:45 PM,2,0
"Thu, Oct 20, 2022",4237,0
05:45 - 06:00 AM,3,0
06:00 - 06:15 AM,78,0
06:15 - 06:30 AM,26,0
06:30 - 06:45 AM,29,0
06:45 - 07:00 AM,37,0
07:00 - 07:15 AM,40,0
07:15 - 07:30 AM,22,0
07:30 - 07:45 AM,27,0
07:45 - 08:00 AM,25,0
08:00 - 08:15 AM,75,0
08:15 - 08:30 AM,39,0
08:30 - 08:45 AM,39,0
08:45 - 9:00 AM,59,0
9:00 - 9:15 AM,96,0
9:15 - 9:30 AM,48,0
9:30 - 9:45 AM,63,0
9:45 - 10:00 AM,40,0
10:00 - 10:15 AM,84,0
10:15 - 10:30 AM,46,0
10:30 - 10:45 AM,39,0
10:45 - 11:00 AM,76,0
11:00 - 11:15 AM,125,0
11:15 - 11:30 AM,80,0
"Tue, Feb 21 2023 2:45P",Page: 65/247,
Entrances,Exits,
11:30 - 11:45 AM,70,0
11:45 - 12:00 AM,80,0
12:00 - 12:15 AM,82,0
12:15 - 12:30 AM,72,0
12:30 - 12:45 AM,54,0
12:45 - 01:00 PM,79,0
01:00 - 01:15 PM,76,0
01:15 - 01:30 PM,47,0
01:30 - 01:45 PM,59,0
01:45 - 02:00 PM,63,0
02:00 - 02:15 PM,128,0
02:15 - 02:30 PM,75,0
02:30 - 02:45 PM,62,0
02:45 - 03:00 PM,74,0
03:00 - 03:15 PM,84,0
03:15 - 03:30 PM,53,0
03:30 - 03:45 PM,32,0
03:45 - 04:00 PM,65,0
04:00 - 04:15 PM,152,0
04:15 - 04:30 PM,68,0
04:30 - 04:45 PM,63,0
04:45 - 05:00 PM,57,0
05:00 - 05:15 PM,92,0
05:15 - 05:30 PM,65,0
05:30 - 05:45 PM,51,0
05:45 - 06:00 PM,61,0
06:00 - 06:15 PM,109,0
06:15 - 06:30 PM,94,0
06:30 - 06:45 PM,57,0
06:45 - 07:00 PM,82,0
07:00 - 07:15 PM,78,0
07:15 - 07:30 PM,78,0
07:30 - 07:45 PM,50,0
07:45 - 08:00 PM,48,0
08:00 - 08:15 PM,74,0
08:15 - 08:30 PM,72,0
08:30 - 08:45 PM,54,0
08:45 - 9:00 PM,52,0
9:00 - 9:15 PM,48,0
9:15 - 9:30 PM,64,0
"Tue, Feb 21 2023 2:45P",Page: 66/247,
Entrances,Exits,
9:30 - 9:45 PM,35,0
9:45 - 10:00 PM,61,0
10:00 - 10:15 PM,31,0
10:15 - 10:30 PM,25,0
10:30 - 10:45 PM,25,0
10:45 - 11:00 PM,12,0
11:00 - 11:15 PM,14,0
11:15 - 11:30 PM,11,0
11:30 - 11:45 PM,3,0
"Fri, Oct 21, 2022",3390,0
05:45 - 06:00 AM,1,0
06:00 - 06:15 AM,69,0
06:15 - 06:30 AM,25,0
06:30 - 06:45 AM,25,0
06:45 - 07:00 AM,23,0
07:00 - 07:15 AM,18,0
07:15 - 07:30 AM,25,0
07:30 - 07:45 AM,27,0
07:45 - 08:00 AM,31,0
08:00 - 08:15 AM,36,0
08:15 - 08:30 AM,22,0
08:30 - 08:45 AM,39,0
08:45 - 9:00 AM,36,0
9:00 - 9:15 AM,48,0
9:15 - 9:30 AM,50,0
9:30 - 9:45 AM,36,0
9:45 - 10:00 AM,43,0
10:00 - 10:15 AM,82,0
10:15 - 10:30 AM,53,0
10:30 - 10:45 AM,38,0
10:45 - 11:00 AM,47,0
11:00 - 11:15 AM,77,0
11:15 - 11:30 AM,42,0
11:30 - 11:45 AM,59,0
11:45 - 12:00 AM,64,0
12:00 - 12:15 AM,134,0
12:15 - 12:30 AM,74,0
12:30 - 12:45 AM,71,0
12:45 - 01:00 PM,57,0
01:00 - 01:15 PM,80,0
"Tue, Feb 21 2023 2:45P",Page: 67/247,
Entrances,Exits,
01:15 - 01:30 PM,70,0
01:30 - 01:45 PM,64,0
01:45 - 02:00 PM,52,0
02:00 - 02:15 PM,76,0
02:15 - 02:30 PM,68,0
02:30 - 02:45 PM,53,0
02:45 - 03:00 PM,73,0
03:00 - 03:15 PM,62,0
03:15 - 03:30 PM,65,0
03:30 - 03:45 PM,41,0
03:45 - 04:00 PM,75,0
04:00 - 04:15 PM,83,0
04:15 - 04:30 PM,63,0
04:30 - 04:45 PM,52,0
04:45 - 05:00 PM,59,0
05:00 - 05:15 PM,111,0
05:15 - 05:30 PM,74,0
05:30 - 05:45 PM,34,0
05:45 - 06:00 PM,37,0
06:00 - 06:15 PM,51,0
06:15 - 06:30 PM,61,0
06:30 - 06:45 PM,41,0
06:45 - 07:00 PM,70,0
07:00 - 07:15 PM,47,0
07:15 - 07:30 PM,43,0
07:30 - 07:45 PM,30,0
07:45 - 08:00 PM,36,0
08:00 - 08:15 PM,30,0
08:15 - 08:30 PM,25,0
08:30 - 08:45 PM,26,0
08:45 - 9:00 PM,37,0
9:00 - 9:15 PM,22,0
9:15 - 9:30 PM,43,0
9:30 - 9:45 PM,18,0
9:45 - 10:00 PM,28,0
10:00 - 10:15 PM,28,0
10:15 - 10:30 PM,44,0
10:30 - 10:45 PM,6,0
10:45 - 11:00 PM,34,0
11:00 - 11:15 PM,12,0
"Tue, Feb 21 2023 2:45P",Page: 68/247,
Entrances,Exits,
11:15 - 11:30 PM,11,0
11:30 - 11:45 PM,3,0
"Sat, Oct 22, 2022",2169,0
08:00 - 08:15 AM,131,0
08:15 - 08:30 AM,34,0
08:30 - 08:45 AM,33,0
08:45 - 9:00 AM,38,0
9:00 - 9:15 AM,27,0
9:15 - 9:30 AM,43,0
9:30 - 9:45 AM,51,0
9:45 - 10:00 AM,50,0
10:00 - 10:15 AM,55,0
10:15 - 10:30 AM,35,0
10:30 - 10:45 AM,38,0
10:45 - 11:00 AM,39,0
11:00 - 11:15 AM,85,0
11:15 - 11:30 AM,63,0
11:30 - 11:45 AM,43,0
11:45 - 12:00 AM,61,0
12:00 - 12:15 AM,62,0
12:15 - 12:30 AM,42,0
12:30 - 12:45 AM,47,0
12:45 - 01:00 PM,31,0
01:00 - 01:15 PM,39,0
01:15 - 01:30 PM,48,0
01:30 - 01:45 PM,39,0
01:45 - 02:00 PM,39,0
02:00 - 02:15 PM,41,0
02:15 - 02:30 PM,40,0
02:30 - 02:45 PM,52,0
02:45 - 03:00 PM,33,0
03:00 - 03:15 PM,57,0
03:15 - 03:30 PM,41,0
03:30 - 03:45 PM,47,0
03:45 - 04:00 PM,43,0
04:00 - 04:15 PM,34,0
04:15 - 04:30 PM,42,0
04:30 - 04:45 PM,20,0
04:45 - 05:00 PM,46,0
05:00 - 05:15 PM,34,0
"Tue, Feb 21 2023 2:45P",Page: 69/247,
,Entrances,Exits
05:15 - 05:30 PM,34,0
05:30 - 05:45 PM,32,0
05:45 - 06:00 PM,42,0
06:00 - 06:15 PM,20,0
06:15 - 06:30 PM,31,0
06:30 - 06:45 PM,22,0
06:45 - 07:00 PM,32,0
07:00 - 07:15 PM,20,0
07:15 - 07:30 PM,25,0
07:30 - 07:45 PM,24,0
07:45 - 08:00 PM,34,0
08:00 - 08:15 PM,31,0
08:15 - 08:30 PM,25,0
08:30 - 08:45 PM,27,0
08:45 - 9:00 PM,30,0
9:00 - 9:15 PM,19,0
9:15 - 9:30 PM,14,0
9:30 - 9:45 PM,4,0
Week: 10/23/2022 - 10/29/2022,25132,0
"Sun, Oct 23, 2022",2224,0
08:00 - 08:15 AM,37,0
08:15 - 08:30 AM,8,0
08:30 - 08:45 AM,18,0
08:45 - 9:00 AM,30,0
9:00 - 9:15 AM,18,0
9:15 - 9:30 AM,23,0
9:30 - 9:45 AM,19,0
9:45 - 10:00 AM,30,0
10:00 - 10:15 AM,46,0
10:15 - 10:30 AM,20,0
10:30 - 10:45 AM,22,0
10:45 - 11:00 AM,41,0
11:00 - 11:15 AM,34,0
11:15 - 11:30 AM,20,0
11:30 - 11:45 AM,38,0
11:45 - 12:00 AM,33,0
12:00 - 12:15 AM,27,0
12:15 - 12:30 AM,31,0
12:30 - 12:45 AM,24,0
12:45 - 01:00 PM,36,0
"Tue, Feb 21 2023 2:45P",Page: 70/247,
Entrances,Exits,
01:00 - 01:15 PM,30,0
01:15 - 01:30 PM,48,0
01:30 - 01:45 PM,25,0
01:45 - 02:00 PM,28,0
02:00 - 02:15 PM,41,0
02:15 - 02:30 PM,45,0
02:30 - 02:45 PM,20,0
02:45 - 03:00 PM,39,0
03:00 - 03:15 PM,53,0
03:15 - 03:30 PM,22,0
03:30 - 03:45 PM,62,0
03:45 - 04:00 PM,52,0
04:00 - 04:15 PM,55,0
04:15 - 04:30 PM,51,0
04:30 - 04:45 PM,50,0
04:45 - 05:00 PM,75,0
05:00 - 05:15 PM,44,0
05:15 - 05:30 PM,74,0
05:30 - 05:45 PM,59,0
05:45 - 06:00 PM,48,0
06:00 - 06:15 PM,56,0
06:15 - 06:30 PM,46,0
06:30 - 06:45 PM,43,0
06:45 - 07:00 PM,50,0
07:00 - 07:15 PM,74,0
07:15 - 07:30 PM,81,0
07:30 - 07:45 PM,58,0
07:45 - 08:00 PM,84,0
08:00 - 08:15 PM,39,0
08:15 - 08:30 PM,56,0
08:30 - 08:45 PM,58,0
08:45 - 9:00 PM,27,0
9:00 - 9:15 PM,51,0
9:15 - 9:30 PM,17,0
9:30 - 9:45 PM,7,0
9:45 - 10:00 PM,1,0
"Mon, Oct 24, 2022",4754,0
05:45 - 06:00 AM,11,0
06:00 - 06:15 AM,69,0
06:15 - 06:30 AM,26,0
"Tue, Feb 21 2023 2:45P",Page: 71/247,
Entrances,Exits,
06:30 - 06:45 AM,21,0
06:45 - 07:00 AM,44,0
07:00 - 07:15 AM,33,0
07:15 - 07:30 AM,23,0
07:30 - 07:45 AM,28,0
07:45 - 08:00 AM,45,0
08:00 - 08:15 AM,59,0
08:15 - 08:30 AM,32,0
08:30 - 08:45 AM,61,0
08:45 - 9:00 AM,50,0
9:00 - 9:15 AM,97,0
9:15 - 9:30 AM,36,0
9:30 - 9:45 AM,32,0
9:45 - 10:00 AM,56,0
10:00 - 10:15 AM,120,0
10:15 - 10:30 AM,62,0
10:30 - 10:45 AM,40,0
10:45 - 11:00 AM,47,0
11:00 - 11:15 AM,95,0
11:15 - 11:30 AM,41,0
11:30 - 11:45 AM,45,0
11:45 - 12:00 AM,80,0
12:00 - 12:15 AM,148,0
12:15 - 12:30 AM,62,0
12:30 - 12:45 AM,56,0
12:45 - 01:00 PM,44,0
01:00 - 01:15 PM,70,0
01:15 - 01:30 PM,70,0
01:30 - 01:45 PM,63,0
01:45 - 02:00 PM,57,0
02:00 - 02:15 PM,120,0
02:15 - 02:30 PM,76,0
02:30 - 02:45 PM,59,0
02:45 - 03:00 PM,62,0
03:00 - 03:15 PM,113,0
03:15 - 03:30 PM,60,0
03:30 - 03:45 PM,41,0
03:45 - 04:00 PM,75,0
04:00 - 04:15 PM,167,0
04:15 - 04:30 PM,85,0
"Tue, Feb 21 2023 2:45P",Page: 72/247,
Entrances,Exits,
04:30 - 04:45 PM,52,0
04:45 - 05:00 PM,68,0
05:00 - 05:15 PM,115,0
05:15 - 05:30 PM,98,0
05:30 - 05:45 PM,86,0
05:45 - 06:00 PM,92,0
06:00 - 06:15 PM,152,0
06:15 - 06:30 PM,126,0
06:30 - 06:45 PM,74,0
06:45 - 07:00 PM,106,0
07:00 - 07:15 PM,108,0
07:15 - 07:30 PM,99,0
07:30 - 07:45 PM,73,0
07:45 - 08:00 PM,66,0
08:00 - 08:15 PM,114,0
08:15 - 08:30 PM,112,0
08:30 - 08:45 PM,61,0
08:45 - 9:00 PM,83,0
9:00 - 9:15 PM,63,0
9:15 - 9:30 PM,71,0
9:30 - 9:45 PM,75,0
9:45 - 10:00 PM,41,0
10:00 - 10:15 PM,35,0
10:15 - 10:30 PM,40,0
10:30 - 10:45 PM,17,0
10:45 - 11:00 PM,21,0
11:00 - 11:15 PM,16,0
11:15 - 11:30 PM,9,0
"Tue, Oct 25, 2022",4666,0
06:30 - 06:45 AM,46,0
06:45 - 07:00 AM,23,0
07:00 - 07:15 AM,40,0
07:15 - 07:30 AM,30,0
07:30 - 07:45 AM,36,0
07:45 - 08:00 AM,34,0
08:00 - 08:15 AM,82,0
08:15 - 08:30 AM,41,0
08:30 - 08:45 AM,44,0
08:45 - 9:00 AM,42,0
9:00 - 9:15 AM,106,0
"Tue, Feb 21 2023 2:45P",Page: 73/247,
Entrances,Exits,
9:15 - 9:30 AM,64,0
9:30 - 9:45 AM,58,0
9:45 - 10:00 AM,41,0
10:00 - 10:15 AM,78,0
10:15 - 10:30 AM,49,0
10:30 - 10:45 AM,51,0
10:45 - 11:00 AM,92,0
11:00 - 11:15 AM,169,0
11:15 - 11:30 AM,55,0
11:30 - 11:45 AM,56,0
11:45 - 12:00 AM,74,0
12:00 - 12:15 AM,114,0
12:15 - 12:30 AM,58,0
12:30 - 12:45 AM,37,0
12:45 - 01:00 PM,43,0
01:00 - 01:15 PM,67,0
01:15 - 01:30 PM,48,0
01:30 - 01:45 PM,50,0
01:45 - 02:00 PM,62,0
02:00 - 02:15 PM,119,0
02:15 - 02:30 PM,64,0
02:30 - 02:45 PM,59,0
02:45 - 03:00 PM,50,0
03:00 - 03:15 PM,103,0
03:15 - 03:30 PM,51,0
03:30 - 03:45 PM,62,0
03:45 - 04:00 PM,85,0
04:00 - 04:15 PM,142,0
04:15 - 04:30 PM,55,0
04:30 - 04:45 PM,101,0
04:45 - 05:00 PM,113,0
05:00 - 05:15 PM,121,0
05:15 - 05:30 PM,89,0
05:30 - 05:45 PM,75,0
05:45 - 06:00 PM,103,0
06:00 - 06:15 PM,135,0
06:15 - 06:30 PM,87,0
06:30 - 06:45 PM,103,0
06:45 - 07:00 PM,131,0
07:00 - 07:15 PM,84,0
"Tue, Feb 21 2023 2:45P",Page: 74/247,
Entrances,Exits,
07:15 - 07:30 PM,104,0
07:30 - 07:45 PM,91,0
07:45 - 08:00 PM,85,0
08:00 - 08:15 PM,86,0
08:15 - 08:30 PM,81,0
08:30 - 08:45 PM,71,0
08:45 - 9:00 PM,63,0
9:00 - 9:15 PM,79,0
9:15 - 9:30 PM,66,0
9:30 - 9:45 PM,42,0
9:45 - 10:00 PM,34,0
10:00 - 10:15 PM,43,0
10:15 - 10:30 PM,31,0
10:30 - 10:45 PM,20,0
10:45 - 11:00 PM,26,0
11:00 - 11:15 PM,13,0
11:15 - 11:30 PM,8,0
11:45 - 00:00 AM,1,0
"Wed, Oct 26, 2022",4504,0
05:45 - 06:00 AM,1,0
06:00 - 06:15 AM,61,0
06:15 - 06:30 AM,28,0
06:30 - 06:45 AM,34,0
06:45 - 07:00 AM,44,0
07:00 - 07:15 AM,27,0
07:15 - 07:30 AM,30,0
07:30 - 07:45 AM,29,0
07:45 - 08:00 AM,37,0
08:00 - 08:15 AM,44,0
08:15 - 08:30 AM,35,0
08:30 - 08:45 AM,52,0
08:45 - 9:00 AM,65,0
9:00 - 9:15 AM,95,0
9:15 - 9:30 AM,48,0
9:30 - 9:45 AM,43,0
9:45 - 10:00 AM,31,0
10:00 - 10:15 AM,108,0
10:15 - 10:30 AM,39,0
10:30 - 10:45 AM,50,0
10:45 - 11:00 AM,43,0
"Tue, Feb 21 2023 2:45P",Page: 75/247,
Entrances,Exits,
11:00 - 11:15 AM,80,0
11:15 - 11:30 AM,69,0
11:30 - 11:45 AM,51,0
11:45 - 12:00 AM,91,0
12:00 - 12:15 AM,136,0
12:15 - 12:30 AM,80,0
12:30 - 12:45 AM,46,0
12:45 - 01:00 PM,54,0
01:00 - 01:15 PM,74,0
01:15 - 01:30 PM,43,0
01:30 - 01:45 PM,40,0
01:45 - 02:00 PM,74,0
02:00 - 02:15 PM,125,0
02:15 - 02:30 PM,58,0
02:30 - 02:45 PM,36,0
02:45 - 03:00 PM,68,0
03:00 - 03:15 PM,101,0
03:15 - 03:30 PM,75,0
03:30 - 03:45 PM,56,0
03:45 - 04:00 PM,63,0
04:00 - 04:15 PM,130,0
04:15 - 04:30 PM,79,0
04:30 - 04:45 PM,59,0
04:45 - 05:00 PM,81,0
05:00 - 05:15 PM,106,0
05:15 - 05:30 PM,70,0
05:30 - 05:45 PM,89,0
05:45 - 06:00 PM,105,0
06:00 - 06:15 PM,148,0
06:15 - 06:30 PM,116,0
06:30 - 06:45 PM,80,0
06:45 - 07:00 PM,68,0
07:00 - 07:15 PM,84,0
07:15 - 07:30 PM,83,0
07:30 - 07:45 PM,60,0
07:45 - 08:00 PM,88,0
08:00 - 08:15 PM,105,0
08:15 - 08:30 PM,83,0
08:30 - 08:45 PM,50,0
08:45 - 9:00 PM,82,0
"Tue, Feb 21 2023 2:45P",Page: 76/247,
Entrances,Exits,
9:00 - 9:15 PM,95,0
9:15 - 9:30 PM,59,0
9:30 - 9:45 PM,43,0
9:45 - 10:00 PM,44,0
10:00 - 10:15 PM,48,0
10:15 - 10:30 PM,32,0
10:30 - 10:45 PM,21,0
10:45 - 11:00 PM,15,0
11:00 - 11:15 PM,8,0
11:15 - 11:30 PM,6,0
11:30 - 11:45 PM,3,0
"Thu, Oct 27, 2022",3965,0
06:00 - 06:15 AM,76,0
06:15 - 06:30 AM,27,0
06:30 - 06:45 AM,34,0
06:45 - 07:00 AM,34,0
07:00 - 07:15 AM,35,0
07:15 - 07:30 AM,16,0
07:30 - 07:45 AM,34,0
07:45 - 08:00 AM,35,0
08:00 - 08:15 AM,78,0
08:15 - 08:30 AM,39,0
08:30 - 08:45 AM,29,0
08:45 - 9:00 AM,49,0
9:00 - 9:15 AM,82,0
9:15 - 9:30 AM,39,0
9:30 - 9:45 AM,46,0
9:45 - 10:00 AM,37,0
10:00 - 10:15 AM,79,0
10:15 - 10:30 AM,39,0
10:30 - 10:45 AM,48,0
10:45 - 11:00 AM,59,0
11:00 - 11:15 AM,142,0
11:15 - 11:30 AM,59,0
11:30 - 11:45 AM,50,0
11:45 - 12:00 AM,50,0
12:00 - 12:15 AM,89,0
12:15 - 12:30 AM,45,0
12:30 - 12:45 AM,51,0
12:45 - 01:00 PM,62,0
"Tue, Feb 21 2023 2:45P",Page: 77/247,
Entrances,Exits,
01:00 - 01:15 PM,71,0
01:15 - 01:30 PM,56,0
01:30 - 01:45 PM,42,0
01:45 - 02:00 PM,65,0
02:00 - 02:15 PM,108,0
02:15 - 02:30 PM,74,0
02:30 - 02:45 PM,51,0
02:45 - 03:00 PM,53,0
03:00 - 03:15 PM,87,0
03:15 - 03:30 PM,63,0
03:30 - 03:45 PM,67,0
03:45 - 04:00 PM,62,0
